id,sku,ean,brand,name_en,name_gr,category_id,is_prize,is_retail,suggested_search_query
35,ER-SCH001,4991685025036,IWAKO,60PC ASST SCHOOL,ΓΟΜΑ 3D SCHOOL SUPPLY,4,true,false,4991685025036 IWAKO 60PC ASST SCHOOL official product image
36,ER-HAT001,4991685170132,IWAKO,60PC ASST SERVICE VEHICLE,ΓΟΜΑ 3D SERVICE VEHICLES,4,true,false,4991685170132 IWAKO 60PC ASST SERVICE VEHICLE official product image
37,ER-SKA001,4991685022011,IWAKO,60PC ASST SKATEBOARD,ΓΟΜΑ 3D SKATEBOARD,4,true,false,4991685022011 IWAKO 60PC ASST SKATEBOARD official product image
39,ERBDOU038,4991685200921,IWAKO,COW,ΓΟΜΑ 3D ΑΓΕΛΑΔΑ,4,true,false,4991685200921 IWAKO COW official product image
40,ERBDOU012,4991685200310,IWAKO,DOG (YELLOW),ΓΟΜΑ 3D ΣΚΥΛΟΣ,4,true,false,4991685200310 IWAKO DOG (YELLOW) official product image
41,ERBDOU030,4991685200310,IWAKO,DUCK(PINK),ΓΟΜΑ 3D ΠΑΠΙΑ ΡΟΖ,4,true,false,4991685200310 IWAKO DUCK(PINK) official product image
42,ERBDOU130,4991685201263,IWAKO,CHICK(YELLOW),ΓΟΜΑ 3D ΠΟΥΛΑΚΙ  ΚΙΤΡΙΝΟ,4,true,false,4991685201263 IWAKO CHICK(YELLOW) official product image
43,ERBDOU041,4991685200921,IWAKO,ELEPHANT,ΓΟΜΑ 3D ΕΛΕΦΑΝΤΑΣ,4,true,false,4991685200921 IWAKO ELEPHANT official product image
44,ERBDOU035,4991685200310,IWAKO,FROG,ΓΟΜΑ 3D ΒΑΤΡΑΧΟΣ,4,true,false,4991685200310 IWAKO FROG official product image
45,ERBDOU036,4991685200921,IWAKO,GIRAFFE,ΓΟΜΑ 3D ΚΑΜΗΛΟΠΑΡΔΑΛΗ,4,true,false,4991685200921 IWAKO GIRAFFE official product image
46,ERBDOU021,4991685200150,IWAKO,HAMSTER (ORANGE),ΓΟΜΑ 3D HAMSTER ΠΟΡΤΟΚΑΛΙ,4,true,false,4991685200150 IWAKO HAMSTER (ORANGE) official product image
47,ERBDOU053,4991685200150,IWAKO,HEDGEHOG (GREEN),ΓΟΜΑ 3D ΣΚΑΝΤΖΟΧΟΙΡΟΣ ΠΡΑΣΙΝΟ,4,true,false,4991685200150 IWAKO HEDGEHOG (GREEN) official product image
48,ERBDOU043,4991685200921,IWAKO,HORSE,ΓΟΜΑ 3D ΑΛΟΓΟ,4,true,false,4991685200921 IWAKO HORSE official product image
49,ERBDOU111,4991685200921,IWAKO,KANGAROO (ORANGE),ΓΟΜΑ 3D ΚΑΓΚΟΥΡΟ ΠΟΡΤΟΚΑΛΙ,4,true,false,4991685200921 IWAKO KANGAROO (ORANGE) official product image
50,ERBDOU073,4991685201126,IWAKO,LUCKY CAT (RED),ΓΟΜΑ 3D ΤΥΧΕΡΗ ΓΑΤΑ ΚΟΚΚΙΝΟ,4,true,false,4991685201126 IWAKO LUCKY CAT (RED) official product image
51,ERBDOU313,4991685024039,IWAKO,DUCK,ΓΟΜΑ 3D ΣΧΕΔΙΟ ΠΑΠΙΑ,4,true,false,4991685024039 IWAKO DUCK official product image
52,ERBDOU226,4991685201140,IWAKO,OWL (GRAY),ΓΟΜΑ 3D ΚΟΥΚΟΥΒΑΓΙΑ ΓΚΡΙ,4,true,false,4991685201140 IWAKO OWL (GRAY) official product image
53,ERBDOU292,4991685021113,IWAKO,PARAKEET,ΓΟΜΑ 3D ΠΑΠΑΓΑΛΟΣ,4,true,false,4991685021113 IWAKO PARAKEET official product image
54,ERBDOU037,4991685200921,IWAKO,PIG,ΓΟΜΑ 3D ΓΟΥΡΟΥΝΑΚΙ,4,true,false,4991685200921 IWAKO PIG official product image
55,ERBDOU016,4991685200310,IWAKO,RABBIT SKIRT,ΓΟΜΑ 3D ΚΟΥΝΕΛΑΚΙ,4,true,false,4991685200310 IWAKO RABBIT SKIRT official product image
56,ERBDOU227,4991685024039,IWAKO,SHEEP (WHITE),ΓΟΜΑ 3D ΠΡΟΒΑΤΑΚΙ ΛΕΥΚΟ,4,true,false,4991685024039 IWAKO SHEEP (WHITE) official product image
57,ERBDOU039,4991685200921,IWAKO,PANDA,ΓΟΜΑ 3D PANDA,4,true,false,4991685200921 IWAKO PANDA official product image
58,102739401,4061947151053,BRUNNEN,"KEYRING PASTEL CUBE, 24 PCS",ΜΠΡΕΛΟΚ ΚΥΒΟΣ ΡΟΥΜΠΙΚ PASTEL,4,true,false,"4061947151053 BRUNNEN KEYRING PASTEL CUBE, 24 PCS official product image"
59,1027396,4003273622586,BRUNNEN,"YELLOW ERASER HAPPY 5 ASS. DESIGNS, 30 PCS",ΓΟΜΑ HAPPY,4,true,false,"4003273622586 BRUNNEN YELLOW ERASER HAPPY 5 ASS. DESIGNS, 30 PCS official product image"
60,1027309,4003273568709,BRUNNEN,"KEYRING SPORT 6 ASS. COLOURS, 36 PCS",ΜΠΡΕΛΟΚ ΑΘΛΗΤΙΚΟ ΠΑΠΟΥΤΣΙ,4,true,false,"4003273568709 BRUNNEN KEYRING SPORT 6 ASS. COLOURS, 36 PCS official product image"
61,1027394,4003273582590,BRUNNEN,"KEYRING CUBE, 24 PCS",ΜΠΡΕΛΟΚ ΚΥΒΟΣ ΡΟΥΜΠΙΚ,4,true,false,"4003273582590 BRUNNEN KEYRING CUBE, 24 PCS official product image"
62,1027357,4003273300774,BRUNNEN,"STRESSBALL 6 MOTIFS/COLOURS, 12 PCS",ANTISTRESS ΜΠΑΛΑ 60ΜΜ,4,true,false,"4003273300774 BRUNNEN STRESSBALL 6 MOTIFS/COLOURS, 12 PCS official product image"
63,102732201,4003273677418,BRUNNEN,"YOYO HAPPY, 4 YELLOW ASS. DESIGN, 12 PCS",ΓΙΟ ΓΙΟ HAPPY,4,true,false,"4003273677418 BRUNNEN YOYO HAPPY, 4 YELLOW ASS. DESIGN, 12 PCS official product image"
64,103668302,4003273653313,BRUNNEN,"BOUNCY BALL FLUMMI GLOW IN THE DARK, 4 ASS. COLOURS",ΤΡΕΛΟΜΠΑΛΑΚΙ GLOW IN THE DARK 40MM,4,true,false,"4003273653313 BRUNNEN BOUNCY BALL FLUMMI GLOW IN THE DARK, 4 ASS. COLOURS official product image"
65,103668306,4061947012620,BRUNNEN,"BOUNCY BALL FLUMMI GLITTER, 5 ASS. COLOURS, 15 PCS",ΤΡΕΛΟΜΠΑΛΑΚΙ GLITTER 40MM,4,true,false,"4061947012620 BRUNNEN BOUNCY BALL FLUMMI GLITTER, 5 ASS. COLOURS, 15 PCS official product image"
66,36190A,8719904361903,TOI-TOYS,BOUNCING BALLS 2.5CM 10PCS,ΛΑΣΤΙΧΕΝΙΑ ΤΡΕΛΟΜΠΑΛΑΚΙΑ 10ΤΕΜ.,5,true,false,8719904361903 TOI-TOYS BOUNCING BALLS 2.5CM 10PCS official product image
67,49292,5038104492921,WHITEHOUSE,"12.5""/32CM BEARS WITH RIBBON 4 ASST",ΛΟΥΤΡΙΝΟ 32CM BEARS WITH RIBBON,6,true,false,"5038104492921 WHITEHOUSE 12.5""/32CM BEARS WITH RIBBON 4 ASST official product image"
68,49408,5038104494086,WHITEHOUSE,"5""/13CM ENERGY DRINK 6 ASST BAGCLIPS",ΚΛΙΠ ΤΣΑΝΤΑΣ 13CM ENERGY DRINK,7,true,false,"5038104494086 WHITEHOUSE 5""/13CM ENERGY DRINK 6 ASST BAGCLIPS official product image"
69,3236,5038104032363,WHITEHOUSE,"3.5""/9CM EMOJI'S BAGCLIPS 6 ASST",ΚΛΙΠ ΤΣΑΝΤΑΣ 9CM EMOJI'S,7,true,false,"5038104032363 WHITEHOUSE 3.5""/9CM EMOJI'S BAGCLIPS 6 ASST official product image"
70,1124,5038104011245,WHITEHOUSE,"10""/25.5CM BT21 S/3 8 ASST",ΛΟΥΤΡΙΝΟ 25.5CM BT21 S/3,6,true,false,"5038104011245 WHITEHOUSE 10""/25.5CM BT21 S/3 8 ASST official product image"
71,71326,5038104713262,WHITEHOUSE,"7.5""/19CM MANDALORIAN SQUASHY PODGIES 3 ASST",ΛΟΥΤΡΙΝΟ 19CM MANDALORIAN SQUASHY,6,true,false,"5038104713262 WHITEHOUSE 7.5""/19CM MANDALORIAN SQUASHY PODGIES 3 ASST official product image"
